codigo1,DESCRIPCION_CIEX
H809  ,Otosclerosis                                                                    
H813  ,Otros Vertigos Perifericos                                                                          
H819  ,Trastorno de la Funcion Vestibular                                                  
H920  ,Otalgia                                                                                             
I120  ,Enfermedad Renal Hipertensiva con Insuficiencia Renal                                               
I130  ,Enfermedad Cardiorrenal Hipertensiva con Insuficiencia Cardiaca (Congestiva)                        
I200  ,Angina Inestable                                                                                    
I409  ,Miocarditis Aguda                                                               
I469  ,Paro Cardiaco                                                                       
I48X  ,Fibrilacion y Aleteo Auricular                                                                      
I499  ,Arritmia Cardiaca                                                               
I500  ,Insuficiencia Cardiaca Congestiva                                                                   
I509  ,Insuficiencia Cardiaca                                                          
I516  ,Enfermedad Cardiovascular                                                       
I519  ,Enfermedad Cardiaca                                                             
I776  ,Arteritis                                                                       
I839  ,Venas Varicosas de los Miembros Inferiores sin Ulcera ni Inflamacion                                
I842  ,Hemorroides Internas sin Complicacion                                                               
I845  ,Hemorroides Externas sin Complicacion                                                               
I849  ,Hemorroides no Especificadas - sin Complicacion                                                      
I861  ,Varices Escrotales                                                                                  
I871  ,Compresion de Vena                                                                                  
I872  ,Insuficiencia Venosa (Cronica) (Periferica)                                                         
J019  ,Sinusitis Aguda                                                                 
J040  ,Laringitis Aguda                                                                                    
J042  ,Laringotraqueitis Aguda                                                                             
J050  ,Laringitis Obstructiva Aguda (CRUP)                                                                 
J10X  ,Influenza por AH1N1 - Influenza debida a otro virus de influenza identificado                       
J110  ,Influenza con Neumonia - Virus no Identificado                                                       
J159  ,Neumonia Bacteriana                                                             
J181  ,Neumonia Lobar                                                                  
J200  ,Bronquitis Aguda debida a Mycoplasma Pneumoniae                                                     
J204  ,Bronquitis Aguda debida a Virus Parainfluenza                                                       
J210  ,Bronquiolitis Aguda debida a Virus Sincitial Respiratorio                                           
J300  ,Rinitis Vasomotora                                                                                  
J301  ,Rinitis Alergica debida al Polen                                                                    
J311  ,Rinofaringitis Cronica                                                                              
J312  ,Faringitis Cronica                                                                                  
J329  ,Sinusitis Cronica                                                               
J339  ,Polipo Nasal                                                                        
J342  ,Desviacion del Tabique Nasal                                                                        
J343  ,Hipertrofia de los Cornetes Nasales                                                                 
J350  ,Amigdalitis Cronica                                                                                 
J351  ,Hipertrofia de las Amigdalas                                                                        
J439  ,Enfisema                                                                            
J451  ,Asma no Alergica.                                                                                   
J690  ,Neumonitis debida a Aspiracion de Alimento o Vomito                                                 
J80X  ,Sindrome de dificultad Respiratoria del Adulto                                                      
J841  ,Otras Enfermedades Pulmonares Intersticiales con Fibrosis                                           
J849  ,Enfermedad Pulmonar Intersticial                                                
J948  ,Otras Afecciones Especificadas de la Pleura                                                         
J969  ,Insuficiencia Respiratoria                                                      
J980  ,Enfermedades de la Traquea y de los Bronquios - no Clasificadas en otra parte                        
K001  ,Dientes Supernumerarios                                                                             
K011  ,Dientes Impactados                                                                                  
K022  ,Caries del Cemento                                                                                  
K023  ,Caries dentaria detenida                                                                            
K051  ,Gingivitis Cronica                                                                                  
K053  ,Periodontitis Cronica                                                                               
K056  ,Enfermedad del Periodonto                                                       
K068  ,Otros Trastornos Especificados de la Encia y de la Zona Edentula                                    
K073  ,Anomalias de la Posicion del diente                                                                 
K083  ,Raiz dental Retenida                                                                                
K091  ,Quistes de las Fisuras (No Odontogenicos)                                                           
K098  ,Otros Quistes de la Region Bucal - no Clasificados en otra parte                                     
K099  ,Quiste de la Region Bucal - sin otra Especificacion                                                  
K102  ,Afecciones Inflamatorias de los Maxilares                                                           
K112  ,Sialadenitis                                                                                        
K116  ,Mucocele de Glandula Salival                                                                        
K137  ,Otras Lesiones y las no Especificadas de la Mucosa Bucal                                            
K210  ,Enfermedad del Reflujo Gastroesofagico con Esofagitis                                               
K259  ,Ulcera Gastrica - no Especificada como Aguda ni Cronica - sin Hemorragia ni Perforacion               
K273  ,Ulcera Peptica - de Sitio  - Aguda sin Hemorragia ni Perforacion                       
K291  ,Otras Gastritis Agudas                                                                              
K310  ,Dilatacion Aguda del Estomago                                                                       
K352  ,Apendicitis aguda con peritonitis generalizada                                                      
K358  ,Otras apendicitis agudas y las no especificadas                                                     
K419  ,Hernia Femoral Unilateral o no Especificada - sin Obstruccion ni Gangrena                            
K501  ,Enfermedad de Crohn del Intestino Grueso                                                            
K519  ,Colitis Ulcerativa - sin otra Especificacion                                                         
K520  ,Colitis y Gastroenteritis debidas a Radiacion                                                       
K589  ,Sindrome del Colon Irritable sin diarrea                                                            
K592  ,Intestino Neurogenico - no Clasificado en otra parte                                                 
K598  ,Otros Trastornos Funcionales Especificados del Intestino                                            
K603  ,Fistula Anal                                                                                        
K621  ,Polipo Rectal                                                                                       
K739  ,Hepatitis Cronica                                                               
K746  ,Otras Cirrosis del Higado y las no Especificadas                                                    
K759  ,Enfermedad Inflamatoria del Higado                                              
K760  ,Degeneracion Grasa del Higado - no Clasificada en otra parte                                         
K801  ,Calculo de la Vesicula Biliar con otra Colecistitis                                                 
K804  ,Calculo de Conducto Biliar con Colecistitis                                                         
K808  ,Otras Colelitiasis                                                                                  
K818  ,Otras Colecistitis                                                                                  
K850  ,Pancreatitis idiop tica aguda                                                                       
K85X  ,Pancreatitis Aguda                                                                                  
K922  ,Hemorragia Gastrointestinal                                                     
L020  ,Absceso Cutaneo - Furunculo y Carbunco de la Cara                                                    
L023  ,Absceso Cutaneo - Furunculo y Carbunco de Gluteos                                                    
L024  ,Absceso Cutaneo - Furunculo y Carbunco de Miembro                                                    
L028  ,Absceso Cutaneo - Furunculo y Carbunco de otros Sitios                                               
L029  ,Absceso Cutaneo - Furunculo y Carbunco de Sitio                                       
L031  ,Celulitis de otras partes de los Miembros                                                           
L032  ,Celulitis de la Cara                                                                                
L033  ,Celulitis del Tronco                                                                                
L042  ,Linfadenitis Aguda del Miembro Superior                                                             
L080  ,Pioderma                                                                                            
L120  ,Penfigoide Flictenular                                                                              
L232  ,Dermatitis Alergica de Contacto debida a Cosmeticos                                                 
L234  ,Dermatitis Alergica de Contacto debida a Colorantes                                                 
L236  ,Dermatitis Alergica de Contacto debida a Alimentos en Contacto con la Piel                          
L249  ,Dermatitis de Contacto por Irritantes - de causa no Especificada                                     
L272  ,Dermatitis debida a Ingestion de Alimentos                                                          
L290  ,Prurito Anal                                                                                        
L299  ,Prurito                                                                             
L303  ,Dermatitis Infecciosa                                                                               
L309  ,Dermatitis                                                                      
L509  ,Urticaria                                                                       
L551  ,Quemadura Solar de Segundo Grado                                                                    
L709  ,Acne                                                                                 
L80X  ,Vitiligo                                                                                            
L890  ,élcera de dec£bito y  rea de presi¢n - estadio I                                                     
L910  ,Cicatriz hipertr¢fica                                                                               
L929  ,Trastorno Granulomatoso de la Piel y del Tejido Subcutaneo                          
L998  ,Otros Trastornos de la Piel y del Tejido Subcutaneo en Enfermedades Clasificadas en Otra            
M014  ,Artritis en Rubeola (B06.8+)                                                                        
M029  ,Artropatia Reactiva                                                             
M089  ,Artritis Juvenil                                                                
M130  ,Poliartritis                                                                    
M152  ,Nodulos de Bouchard (Con Artropatia)                                                                
M170  ,Gonartrosis Primaria - Bilateral                                                                     
M190  ,Artrosis Primaria de otras Articulaciones                                                           
M191  ,Artrosis Postraumatica de otras Articulaciones                                                      
M405  ,Lordosis no Especificada                                                                            
M419  ,Escoliosis                                                                      
M479  ,Espondilosis                                                                    
M512  ,Otros Desplazamientos Especificados de Disco Intervertebral                                         
M533  ,Trastornos Sacrococcigeos - no Clasificados en otra parte                                            
M543  ,Ciatica                                                                                             
M546  ,Dolor en la Columna dorsal                                                                          
M548  ,Otras dorsalgias                                                                                    
M629  ,Trastorno Muscular                                                                  
M703  ,Otras Bursitis del Codo                                                                             
M751  ,Sindrome del Manguito Rotatorio                                                                     
M758  ,Otras Lesiones del Hombro                                                                           
M765  ,Tendinitis Rotuliana                                                                                
M779  ,Entesopatia                                                                     
M792  ,Neuralgia y Neuritis - no Especificadas                                                              
M795  ,Cuerpo Extrano Residual en Tejido Blando                                                            
M798  ,Otros Trastornos Especificados de los Tejidos Blandos                                               
M913  ,Pseudocoxalgia                                                                                      
N010  ,Sindrome Nefritico Rapidamente Progresivo - Anomalia Glomerular Minima                               
N040  ,Sindrome Nefrotico - Anomalia Glomerular Minima                                                      
N047  ,Sindrome Nefrotico - Glomerulonefritis difusa en Media Luna                                          
N049  ,Sindrome Nefrotico                                                              
N110  ,Pielonefritis Cronica no Obstructiva Asociada con Reflujo                                           
N111  ,Pielonefritis Cronica Obstructiva                                                                   
N133  ,Otras Hidronefrosis y las no Especificadas                                                          
N140  ,Nefropatia Inducida por Analgesicos                                                                 
N160  ,Trastornos Renales Tubulointersticiales en Enfermedades Infecciosas y Parasitarias Clasi            
N179  ,Insuficiencia Renal Aguda                                                       
N19X  ,Insuficiencia Renal no Especificada                                                                 
N210  ,Calculo en la Vejiga                                                                                
N220  ,Litiasis Urinaria en Esquistosomiasis [Bilharziasis] (B65.-+)                                       
N258  ,Otros Trastornos Resultantes de la Funcion Tubular Renal Alterada                                   
N291  ,Otros Trastornos del Rinon y del Ureter en Enfermedades Infecciosas y Parasitarias Clasi            
N304  ,Cistitis por Irradiacion                                                                            
N309  ,Cistitis                                                                        
N328  ,Otros Trastornos Especificados de la Vejiga                                                         
N330  ,Cistitis Tuberculosa (A18.1+)                                                                       
N340  ,Absceso Uretral                                                                                     
N341  ,Uretritis no Especifica                                                                             
N361  ,Diverticulo de la Uretra                                                                            
N399  ,Trastorno del Sistema Urinario                                                      
N410  ,Prostatitis Aguda                                                                                   
N433  ,Hidrocele                                                                           
N450  ,Orquitis - Epididimitis y Orquiepididimitis con Absceso                                              
N459  ,Orquitis - Epididimitis y Orquiepididimitis sin Absceso                                              
N509  ,Trastorno  de los Organos Genitales Masculinos                                       
N600  ,Quiste Solitario de la Mama                                                                         
N602  ,Fibroadenosis de Mama                                                                               
N62X  ,Hipertrofia de la Mama                                                                              
N641  ,Necrosis Grasa de la Mama                                                                           
N711  ,Enfermedad Inflamatoria Cronica del Utero                                                           
N732  ,Parametritis y Celulitis Pelvica no Especificada                                                    
N771  ,Vaginitis - Vulvitis y Vulvovaginitis en Enfermedades Infecciosas y Parasitarias Clasific            
N778  ,Ulceracion e Inflamacion Vulvovaginal en otras Enfermedades Clasificadas en otra parte              
N800  ,Endometriosis del Utero                                                                             
N811  ,Cistocele                                                                                           
N813  ,Prolapso Uterovaginal Completo                                                                      
N814  ,Prolapso Uterovaginal - sin otra Especificacion                                                      
N857  ,Hematometra                                                                                         
N871  ,Displasia Cervical Moderada / Neoplasa Intraepitelial Cervical Grado 2 (Nic2)                       
N872  ,Displasia Cervical Severa/Neoplasia Intraepitelial Cervical Grado 3 (Nic 3)                         
N889  ,Trastorno no Inflamatorio del Cuello del Utero                                      
N910  ,Amenorrea Primaria                                                                                  
N912  ,Amenorrea - sin otra Especificacion                                                                  
N925  ,Otras Menstruaciones Irregulares Especificadas                                                      
N938  ,Otras Hemorragias Uterinas o Vaginales Anormales Especificadas                                      
N940  ,Dolor Intermenstrual                                                                                
N944  ,Dismenorrea Primaria                                                                                
N949  ,Afecciones no Especificadas Asociadas con los Organos Genitales Femeninos y el Ciclo Men            
N990  ,Insuficiencia Renal Consecutiva a Procedimientos                                                    
O000  ,Embarazo Abdominal                                                                                  
O019  ,Mola Hidatiforme                                                                
O020  ,Detencion del desarrollo del Huevo y Mola no Hidatiforme                                            
O021  ,Aborto Retenido                                                                                     
O030  ,Aborto Espontaneo - Incompleto - Complicado con Infeccion Genital y Pelviana                          
O037  ,Aborto Espontaneo - Completo o  - Complicado por Embolia                               
O050  ,Otro Aborto - Incompleto - Complicado con Infeccion Genital y Pelviana                                
O051  ,Otro Aborto - Incompleto - Complicado por Hemorragia Excesiva o Tardia                                
O060  ,Aborto  - Incompleto - Complicado con Infeccion Genital y Pelviana                     
O068  ,Aborto  - Completo o  - con otras Complicaciones Especificad            
O140  ,Pre- Eclampsia Moderada                                                                             
O141  ,Pre- Eclampsia Severa                                                                               
O149  ,Pre-Eclampsia no Especificada                                                                       
O152  ,Eclampsia en el Puerperio                                                                           
O210  ,Hiperemesis Gravidica Leve o no Especificada                                                        
O220  ,Venas Varicosas de los Miembros Inferiores en el Embarazo                                           
O230  ,Infeccion del Rnon en el Embarazo                                                                   
O231  ,Infeccion de la Vejiga Urinaria en el Embarazo                                                      
O233  ,Infeccion de otras partes de las Vias Urinarias en el Embarazo                                      
O235  ,Infeccion Genital en el Embarazo                                                                    
O262  ,Atencion del Embarazo en una Abortadora Habitual                                                    
O268  ,Otras Complicaciones Especificadas Relacionadas con el Embarazo                                     
O269  ,Complicacion Relacionada con el Embarazo                                        
O322  ,Atencion Materna por Posicion Fetal Oblicua o Transversa                                            
O325  ,Atencoon Materna por Embarazo Multiple con Presentacion Anormal de un Feto o Mas                    
O330  ,Atencion Materna por desproporcion debida a deformidad de la Pelvis Osea en la Madre                
O331  ,Atencion Materna por desproporcion debida a Estrechez General de la Pelvis                          
O335  ,Atencion Materna por desproporcion debida a Feto demasiado Grande                                   
O342  ,Atencion Materna por Cicatriz Uterina debida a Cirugia Previa                                       
O348  ,Atencion Materna por otras Anormalidades de los Organos Pelvianos                                   
O363  ,Atencion Materna por Signos de Hipoxia Fetal                                                        
O364  ,Atencion Materna por Muerte Intrauterina                                                            
O365  ,Atencion Materna por d?Ficit del Crecimiento Fetal                                                  
O366  ,Atencion Materna por Crecimiento Fetal Excesivo                                                     
O411  ,Infeccion de la Bolsa Amniotica o de las Membranas                                                  
O419  ,Trastorno del L?Quido Amniotico y de las Membranas                                  
O420  ,Ruptura Prematura de Membranas - e Inicio del Trabajo de Parto dentro de las 24 Horas                
O422  ,Ruptura Prematura de las Membranas - Trabajo de Parto Retrasado por la Terapeutica                   
O429  ,Ruptura Prematura de Membranas - sin Especificacion                                                  
O440  ,Placenta Previa con Especificacion de que no Hubo Hemorragia                                        
O441  ,Placenta Previa con Hemorragia                                                                      
O48X  ,Embarazo Prolongado                                                                                 
O630  ,Prolongacion del Primer Periodo (del Trabajo de Parto)                                              
O639  ,Trabajo de Parto Prolongado                                                         
O689  ,Trabajo de Parto y Parto Complicados por Sufrimiento Fetal - sin otra Especificacion                 
O717  ,Hematoma Obstetrico de la Pelvis                                                                    
O720  ,Hemorragia del Tercer Periodo del Parto                                                             
O722  ,Hemorragia Postparto Secundaria o Tardia                                                            
O730  ,Retencion de la Placenta sin Hemorragia                                                             
O731  ,Retencion de Fragmentos de la Placenta o de las Membranas - sin Hemorragia                           
O751  ,Choque durante o despues del Trabajo de Parto y el Parto.  Choque Obstetrico                        
O800  ,Parto Unico Espontaneo - Presentacion Cefalica de Vertice                                            
O8001 ,Parto Horizontal                                                                                    
O801  ,Parto Unico Espontaneo - Presentacion de Nalgas o Podalica                                           
O809  ,Parto Unico Espontaneo  sin otra Especificacion                                                     
O860  ,Infeccion de Herida Quirurgica Obstetrica                                                           
O861  ,Otras Infecciones Genitales Consecutivas al Parto                                                   
O879  ,Complicacion Venosa en el Puerperio                                             
O900  ,Dehiscencia de Sutura de Cesarea                                                                    
O908  ,Otras Complicaciones Puerperales - no Clasificadas en otra parte                                     
O911  ,Abceso de la Mama Asociada con el Parto                                                             
O912  ,Mastitis no Purulenta Asociada con el Parto                                                         
O993  ,Trastornos Mentales y Enfermedades del Sistema Nervioso que Complican el Embarazo                   
O995  ,Enfermedades del Sistema Respiratorio que Complican el Embarazo                                     
P051  ,Pequeno para la Edad Gestacional                                                                    
P0712 ,RN de Bajo Peso al Nacer (< 2500 Gramos)                                                            
P350  ,Sindrome de Rubeola Congenita                                                                       
P369  ,Sepsis Bacteriana del Rn                                                        
P580  ,Ictericia Neonatal debida a Contusion                                                               
P599  ,Ictericia Neonatal                                                              
P704  ,Otras Hipoglicemias Neonatales                                                                      
Q043  ,Otras Anomalias Hipoplasicas del Encefalo                                                           
Q120  ,Catarata Congenita                                                                                  
Q179  ,Malformacion Congenita del Oido                                                 
Q210  ,Defecto del Tabique Ventricular                                                                     
Q234  ,Sindrome de Hipoplasia del Corazon Izquierdo                                                        
Q381  ,Anquiloglosia                                                                                       
Q409  ,Malformacion Congenita de la parte Superior del Tubo digestivo                  
Q501  ,Quiste en desarrollo del Ovario                                                                     
Q602  ,Agenesia Renal - sin otra Especificacion                                                             
Q658  ,Otras deformidades Congenitas de la Cadera                                                          
Q682  ,Deformidad Congenita de la Rodilla                                                                  
Q731  ,Focomelia - Miembro (s)  (s)                                                          
Q789  ,Osteocondrodisplasia                                                            
Q909  ,Sindrome de down                                                                    
R010  ,Soplos Cardiacos Benignos o Inocentes                                                               
R011  ,Soplo Cardiaco                                                                      
R030  ,Lectura Elevada de la Presion Sanguinea - sin diagnostico de Hipertension                            
R102  ,Dolor Pelvico y Perineal                                                                            
R17X  ,Ictericia no Especificada                                                                           
R278  ,Otras Fallas de la Coordinacion y las no Especificadas                                              
R291  ,Meningismo                                                                                          
R33X  ,Retencion de Orina                                                                                  
R400  ,Somnolencia                                                                                         
R453  ,Desmoralizacion y Apatia                                                                            
R456  ,Problemas Relacionados con Violencia                                                                
R54X  ,Senilidad                                                                                           
R568  ,Otras Convulsiones y las no Especificadas                                                           
R590  ,Adenomegalia Localizada                                                                             
R599  ,Adenomegalia                                                                    
R629  ,Retraso en el desarrollo Psicomotor                                                                 
S003  ,Traumatismo Superficial de la Nariz                                                                 
S008  ,Traumatismo Superficial de otras partes de la Cabeza                                                
S011  ,Herida del Parpado y de la Region Periocular                                                        
S012  ,Herida de la Nariz                                                                                  
S014  ,Herida de la Mejilla y de la Region Temporomandibular                                               
S017  ,Heridas Multiples de la Cabeza                                                                      
S020  ,Fractura de la Boveda del Craneo                                                                    
S021  ,Fractura de la Base del Craneo                                                                      
S022  ,Fractura de los Huesos de la Nariz                                                                  
S024  ,Fractura del Malar y del Hueso Maxilar Superior                                                     
S041  ,Traumatismo del Nervio Motor Ocular Comun [III Par]                                                 
S049  ,Traumatismo de Nervios Craneales                                                    
S051  ,Contusion del Globo Ocular y del Tejido Orbitario                                                   
S069  ,Traumatismo Intracraneal                                                            
S091  ,Traumatismo de Tendon y Musculos de la Cabeza                                                       
S097  ,Traumatismos Multiples de la Cabeza                                                                 
S099  ,Traumatismo de la Cabeza                                                            
S200  ,Contusion de la Mama                                                                                
S210  ,Herida de la Mama                                                                                   
S211  ,Herida de la Pared Anterior del Torax                                                               
S218  ,Herida de otras partes del Torax                                                                    
S219  ,Herida del Torax - parte no Especificada                                                             
S223  ,Fractura de Costilla                                                                                
S279  ,Traumatismo de Organo Intratoracico                                                 
S300  ,Contusion de la Region Lumbosacra y de la Pelvis                                                    
S310  ,Herida de la Region Lumbosacra y de la Pelvis                                                       
S311  ,Herida de la Pared Abdominal                                                                        
S318  ,Heridas de otras partes y de las no Especificadas del Abdomen                                       
S321  ,Fractura del Sacro                                                                                  
S322  ,Fractura del Coccix                                                                                 
S370  ,Traumatismo del Rinon                                                                               
S410  ,Herida del Hombro                                                                                   
S417  ,Heridas Multiples del Hombro y del Brazo                                                            
S420  ,Fractura de la Clavicula                                                                            
S429  ,Fractura del Hombro y del Brazo - parte no Especificada                                              
S430  ,Luxacion de la Articulacion del Hombro                                                              
S442  ,Traumatismo del Nervio Radial a nivel del Brazo                                                     
S510  ,Herida del Codo                                                                                     
S522  ,Fractura de la diafisis del Cubito                                                                  
S525  ,Fractura de la Epifisis Inferior del Radio                                                          
S527  ,Fracturas Multiples del Antebrazo                                                                   
S528  ,Fractura de otras partes del Antebrazo                                                              
S540  ,Traumatismo del Nervio Cubital a nivel del Antebrazo                                                
S578  ,Traumatismo por Aplastamiento de otras partes del Antebrazo                                         
S623  ,Fractura de otros Huesos Metacarpianos                                                              
S631  ,Luxacion de dedos de la Mano                                                                        
S635  ,Esguince y Torcedura de la Muneca                                                                   
S700  ,Contusion de la Cadera                                                                              
S701  ,Contusion del Muslo                                                                                 
S710  ,Herida de la Cadera                                                                                 
S711  ,Herida del Muslo                                                                                    
S717  ,Heridas Multiples de la Cadera y del Muslo                                                          
S718  ,Herida de otras partes y de las no Especificadas de la Cintura Pelvica                              
S729  ,Fractura del Femur - parte no Especificada                                                           
S730  ,Luxacion de la Cadera                                                                               
S818  ,Herida de otras partes de la Pierna                                                                 
S821  ,Fractura de la Epifisis Superior de la Tibia                                                        
S824  ,Fractura del Perone Solamente                                                                       
S828  ,Fractura de otras partes de la Pierna                                                               
S910  ,Herida del Tobillo                                                                                  
S912  ,Herida de dedo (s) del Pie con dano de La (s) Una (s)                                               
S934  ,Esguinces y Torceduras del Tobillo                                                                  
T000  ,Traumatismos Superficiales que Afectan la Cabeza con el Cuello                                      
T013  ,Heridas que Afectan Multiples Regiones del (de Los) Miembro (s) Inferior(Es)                        
T019  ,Heridas Multiples - no Especificadas                                                                 
T060  ,Traumatismos del Encefalo y de Nervios Craneales con Traumatismo de Nervios y Medula Esp            
T07X  ,Traumatismos Multiples s                                                            
T110  ,Traumatismo Superficial de Miembro Superior - nivel                                   
T111  ,Herida de Miembro Superior - nivel                                                    
T119  ,Traumatismo  de Miembro Superior - nivel                               
T130  ,Traumatismo Superficial de Miembro Inferior - nivel                                   
T142  ,Fractura de Region no Especificada del Cuerpo                                                       
T151  ,Cuerpo Extrano en el Saco Conjuntival                                                               
T16X  ,Cuerpo Extrano en el Oido                                                                           
T172  ,Cuerpo Extrano en la Faringe                                                                        
T178  ,Cuerpo Extrano en otras y en Multiples partes de las Vias Respiratorias                             
T180  ,Cuerpo Extrano en la Boca                                                                           
T181  ,Cuerpo Extrano en el Esofago                                                                        
T201  ,Quemadura de la Cabeza y del Cuello - de Primer Grado                                                
T202  ,Quemadura de la Cabeza y del Cuello - de Segundo Grado                                               
T222  ,Quemadura del Hombro y Miembro Superior - de Segundo Grado - Excepto de la Muneca y de la             
T230  ,Quemadura de la Muneca y de la Mano - Grado                                           
T231  ,Quemadura de la Muneca y de la Mano - de Primer Grado                                                
T232  ,Quemadura de la Muneca y de la Mano - de Segundo Grado                                               
T241  ,Quemadura de la Cadera y Miembro Inferior - de Primer Grado - Excepto Tobillo y Pie                   
T242  ,Quemadura de la Cadera y Miembro Inferior - de Segundo Grado - Excepto Tobillo y Pie                  
T252  ,Quemadura del Tobillo y del Pie - de Segundo Grado                                                   
T292  ,Quemaduras de Multiples Regiones - Mencionadas como de no Mas de Segundo Grado                       
T301  ,Quemadura de Primer Grado - Region del Cuerpo no Especificada                                        
T302  ,Quemadura de Segundo Grado - Region del Cuerpo no Especificada                                       
T320  ,Corrosiones que Afectan Menos del 10% de la Superficie del Cuerpo                                   
T629  ,Sustancia Nociva Ingerida como Alimento                                         
T659  ,Efecto Toxico de Sustancia no Especificada                                                          
T731  ,Efectos de la Sed                                                                                   
T740  ,Negligencia o Abandono                                                                              
T790  ,Embolia Gaseosa (Traumatica)                                                                        
T814  ,Infeccion Consecutiva a Procedimiento - no Clasificada en otra parte                                 
T933  ,Secuelas de Luxacion - Torcedura y Esguince de Miembro Inferior                                      
U0004 ,Actividades de Salud Bucal                                                                          
U0006 ,Actividades de  Servicio Social                                                                     
U0008 ,Actividades de Tuberculosis                                                                         
U0009 ,Actividades de Inmunizaciones                                                                       
U0013 ,Actividades con Personas con Discapacidad                                                           
U0020 ,Actividades de Salud Familiar                                                                       
U0066 ,Actividades de Salud Mental                                                                         
U0088 ,Actividades de Zoonosis (Rabia)                                                                     
U0099 ,Actividades de Dano No Transmisibles                                                                
U101  ,Aplicacion de Test Psicologico / Unidad Psicologica Evaluada (UPE)                                  
U1202 ,Sesiones Educativas para Abogacia y Politicas Publicas                                              
U1204 ,Sesiones Educativas de Participacion Comunitaria y Empoderamiento Social                            
U124  ,Capacitacion                                                                                        
U1254 ,Entrenamiento en Comportamientos Saludables y de Autocuidado                                        
U1256 ,Entrenamiento en Cultura de Buen Trato                                                              
U128  ,Orienatcion Social                                                                                  
U134  ,Orientacion para Padres o Tutores                                                                   
U136  ,Consejo y Orientacion Psicologico                                                                   
U145  ,Sesion de Intervencion en Crisis                                                                    
U148  ,Entrevista de Enfermeria                                                                            
U159  ,Visita por Riesgo Psicosocial                                                                       
U212  ,Examen de Contactos / Colaterales                                                                   
U2143 ,Toma de Muestra de Control                                                                          
U2621 ,Evaluacion y Entrega de Resultados de Tira Reactiva                                                 
U2623 ,Evaluacion y Entrega de Resultados de Gota Gruesa de Control                                        
U2624 ,Evaluacion y Entrega de Resultados de Leishmaniasis                                                 
